GearHeads ~ Japan|456 Sakura Street|555-JDM-4783
1001|2023|Toyota|GR Supra|Sports Car|Matte Gray|4500|62500.0
1002|2021|Honda|Civic Type R|Hatchback|Championship White|12000|38999.0
1003|2022|Nissan|GT-R Nismo|Sports Car|Pearl White|6500|118500.0
1004|2020|Subaru|WRX STI|Sedan|World Rally Blue|18500|34995.0
1005|2023|Mazda|MX-5 RF|Convertible|Soul Red Crystal|2200|34250.0
1006|2021|Lexus|LC 500|Coupe|Structural Blue|8900|97500.0
1007|2022|Mitsubishi|Lancer Evolution X|Sedan|Rally Red|15400|41900.0
1008|2023|Toyota|Land Cruiser|SUV|Black Onyx|3200|87900.0
1009|2021|Honda|NSX|Sports Car|Berlina Black|4200|157500.0
1010|2022|Nissan|Fairlady Z|Coupe|Yellow|5800|42900.0
1011|2023|Subaru|BRZ tS|Coupe|Crystal White|1800|32995.0
1012|2021|Mazda|RX-7 Spirit R|Coupe|Championship White|12300|89900.0
1013|2022|Toyota|Crown Athlete|Sedan|Deep Blue|6700|48900.0
1014|2023|Honda|S660|Convertible|Midnight Blue|2500|24900.0
1015|2021|Nissan|Silvia S15|Coupe|Spark Silver|13400|53900.0
